"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Internship Class CS & Data Sci","403
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","73","3.308","23.3","35.6","26.0","12.3","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","421
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Categorical Data Analysis","Course Total","77","3.338","26.0","35.1","24.7","11.7","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","59","3.551","33.9","42.4","23.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","10","3.100",".","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
003","7","3.143","28.6",".","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","431
004","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","25","3.180","16.0","20.0","56.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Statistical Data Visualization","436
001","92","3.533","45.7","30.4","15.2","2.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"","451
001","86","3.529","46.5","24.4","20.9","4.7","3.5",".",".",".",".",".",".",".",".",".",".","."
"","451
002","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","Course Total","96","3.542","45.8","27.1","19.8","4.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"","453
001","83","3.913","84.3","7.2","4.8",".",".",".",".","2.4",".",".",".",".","1.2",".",".","."
"","453
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Deep Learning","Course Total","90","3.914","84.4","7.8","4.4",".",".",".",".","2.2",".",".",".",".","1.1",".",".","."
"","461
001","41","3.585","56.1","14.6","19.5","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","461
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statistics","Course Total","47","3.628","59.6","14.9","17.0","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"","471
001","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","471
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Computational Statistics","Course Total","11","3.682","63.6","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","475
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","7","2.786","14.3","14.3","42.9",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","479
001","102","4.000","99.0",".",".",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"","479
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","479
003","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","115","3.969","96.5","0.9","0.9",".","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","16","3.844","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","541
002","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro to Biostatistics","Course Total","26","3.900","88.5",".","3.8","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"","571
001","36","3.600","44.4","27.8","25.0",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","571
002","44","3.372","22.7","27.3","47.7",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","80","3.474","32.5","27.5","37.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","575
001","18","3.333","50.0","11.1","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","575
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Meths-Spatial Data","Course Total","21","3.381","47.6","19.0","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
