"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","340
008","73","2.815","26.0","4.1","31.5","5.5","27.4",".","5.5",".",".",".",".",".",".",".",".","."
"Elem Matrix & Linear Algebra","Course Total","610","2.923","30.0","9.8","25.1","8.5","17.2","5.9","3.1","0.2",".",".",".",".","0.2",".",".","."
"","341
001","23","3.341","26.1","21.7","43.5",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","341
002","21","3.071","38.1","9.5","28.6","4.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","341
003","21","3.024","28.6","28.6","14.3","14.3","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","65","3.148","30.8","20.0","29.2","6.2","6.2","1.5","4.6","1.5",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375
001","47","3.372","42.6","14.9","25.5","8.5","8.5",".",".",".",".",".",".",".",".",".",".","."
"","390
061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
193","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
198","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
205","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
277","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
281","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
282","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Research - MXM","Course Total","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","35","3.471","51.4","14.3","22.9","5.7","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","421
001","35","3.029","37.1","11.4","17.1","5.7","17.1","5.7","2.9",".",".",".",".",".",".","2.9",".","."
"","421
002","34","2.970","26.5","2.9","47.1","2.9","5.9","11.8",".",".",".",".",".",".","2.9",".",".","."
"","421
003","39","2.949","35.9","10.3","12.8","15.4","12.8","12.8",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","108","2.981","33.3","8.3","25.0","8.3","12.0","10.2","0.9",".",".",".",".",".","0.9","0.9",".","."
"Intro-Combinatrl Optimizatn","425
001","22","2.818","27.3",".","27.3","9.1","31.8","4.5",".",".",".",".",".",".",".",".",".","."
"","431
001","29","3.250","34.5","6.9","34.5","13.8","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"","431
002","26","3.192","30.8","15.4","30.8","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","431
003","27","3.278","33.3","11.1","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","431
004","31","3.355","35.5","12.9","41.9","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","113","3.272","33.6","11.5","38.1","8.8","6.2","0.9",".",".",".",".",".",".","0.9",".",".","."
"Introduction to Cryptography","435
001","20","3.200","35.0","20.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","467
001","35","3.357","54.3","8.6","17.1","5.7","11.4",".","2.9",".",".",".",".",".",".",".",".","."
"","467
002","35","3.318","31.4","20.0","31.4",".","11.4",".",".",".",".",".",".",".",".","2.9","2.9","."
"Introduction to Number Theory","Course Total","70","3.338","42.9","14.3","24.3","2.9","11.4",".","1.4",".",".",".",".",".",".","1.4","1.4","."
"History of Mathematics","473
001","14","3.464","57.1","7.1","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","475
001","20","3.250","35.0","15.0","20.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","475
002","19","3.500","52.6","21.1","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","475
003","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","47","3.362","40.4","19.1","21.3","14.9","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","30","3.448","43.3","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".","3.3",".",".","."
"","521
001","38","2.776","13.2","7.9","39.5","21.1","10.5","5.3","2.6",".",".",".",".",".",".",".",".","."
"","521
002","37","3.486","48.6","24.3","13.5","2.7","10.8",".",".",".",".",".",".",".",".",".",".","."
"","521
003","29","2.362","10.3","13.8","17.2","17.2","24.1","3.4","13.8",".",".",".",".",".",".",".",".","."
"","521
004","36","3.292","41.7","16.7","19.4","8.3","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","140","3.011","29.3","15.7","22.9","12.1","13.6","2.9","3.6",".",".",".",".",".",".",".",".","."
