"MEDICAL SCIENCES - MED SCH Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Med Spanish for Hlth Sci Stdts
735
002","","33","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"Pts, Prof. and Public Health
770
001","","172","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Body in Balance
771
001","","174","",".",".",".",".",".",".",".","94.8","1.1",".",".",".",".",".",".","4.0"
"Invaders and Defense
774
100","","178","",".",".",".",".",".",".",".","97.2","2.8",".",".",".",".",".",".","."
"Mind & Motion
775
001","","171","",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".",".",".","."
"810
021","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
022","","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
SCOPE","","85","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"811
021","","38","",".",".",".",".",".",".",".","97.4",".",".",".",".","2.6",".",".","."
"811
022","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Chronic and Preventive Care","","82","",".",".",".",".",".",".",".","98.8",".",".",".",".","1.2",".",".","."
"812
021","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"812
022","","38","",".",".",".",".",".",".",".","97.4",".",".",".",".","2.6",".",".","."
"Course Total
Acute Care","","84","",".",".",".",".",".",".",".","98.8",".",".",".",".","1.2",".",".","."
"813
021","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"813
022","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"813
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Surgical and Procedural Care","","80","",".",".",".",".",".",".",".","98.8",".",".",".","1.3",".",".",".","."
"902
041","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"902
046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","","48","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lab-based Teaching in Med Ed
912
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Case-based Teaching in Med Ed
914
044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"918
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
IRR Medical Sciences","","2","***","","","","","","","","","","","","","","","",""
"Advocating for Patients
940
007","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Nrtve Med, Strytllng & Res Prp
942
101","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
