"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"Green-Sustainable Development","651
001","","30","3.603","40.0","36.7","20.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","710
001","","30","3.310","33.3","36.7","10.0","3.3","10.0",".","3.3",".",".",".",".",".","3.3",".",".","."
"","710
002","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","41","3.375","36.6","34.1","12.2","4.9","7.3",".","2.4",".",".",".",".",".","2.4",".",".","."
"","715
001","","16","3.375","37.5","37.5","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","715
002","","19","3.278","15.8","36.8","31.6","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Techniques-Real Est Valuatn","Course Total","","35","3.324","25.7","37.1","20.0","8.6","2.9","2.9",".",".",".",".",".",".","2.9",".",".","."
"","720
001","","30","3.600","56.7","16.7","16.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","720
002","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","Course Total","","45","3.589","53.3","20.0","17.8","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","","21","3.925","81.0","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","765
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","28","3.925","85.7","3.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment I","841
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 2","851
001","","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Urban Land Economics","875
001","","10","3.813","50.0","30.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"Real Estate Research Seminar","978
001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","","4","***","","","","","","","","","","","","","","","",""
