"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","79","3.373","41.8","25.3","13.9","8.9","8.9",".","1.3",".",".",".",".",".",".",".",".","."
"General Botany
130","001","","132","3.201","36.4","9.1","34.8","2.3","15.9","0.8","0.8",".",".",".",".",".",".",".",".","."
"151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"151","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","9","2.222",".",".","44.4",".","33.3","22.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology
152","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Humans
240","001","","26","3.104","34.6","7.7","15.4","19.2","11.5","3.8",".",".",".",".",".",".","3.8","3.8",".","."
"Introductory Ecology
260","001","","29","3.121","27.6","24.1","20.7","13.8","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs
265","001","","19","3.579","47.4","31.6","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Botany
299","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Anatomy
300","001","","27","3.346","48.1",".","37.0",".","7.4","3.7",".","3.7",".",".",".",".",".",".",".","."
"Algae
330","001","","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography
338","001","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics
400","001","","44","3.557","56.8","20.5","11.4","9.1",".",".","2.3",".",".",".",".",".",".",".",".","."
"Dendrology
402","001","","18","3.912","83.3","5.6","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Evolutionary Biology
410","001","","17","3.294","41.2",".","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"General Ecology
460","001","","26","3.500","30.8","42.3","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology
516","001","","17","3.781","70.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9",".","."
"Plant Biochemistry
621","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"692","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
