"TERM : 1262","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","Dept. Total
122","3.902","58.2","4.1","2.5","",".","",".","",".","",".","30.3","",".",".","",".","4.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
