"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","Dept. Total","543","3.908","86.4","8.3","1.5","0.9","",".","0.4","0.4","",".","",".",".","",".","",".","2.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","3.827","83.7","12.2",".","2.0","",".",".","2.0","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","125","3.842","80.8","12.0","2.4","0.8","",".","0.8","0.8","",".","",".",".","",".","",".","2.4",".",".","."
"Junior","","98","3.835","81.6","10.2","5.1","2.0","",".","1.0",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","147","3.968","91.8","5.4",".","0.7","",".",".",".","",".","",".",".","",".","",".","2.0",".",".","."
"Undergraduates","","419","3.882","85.2","9.3","1.9","1.2","",".","0.5","0.5","",".","",".",".","",".","",".","1.4",".",".","."
"Graduate","","124","3.972","90.3","4.8",".",".","",".",".",".","",".","",".",".","",".","",".","4.8",".",".","."
"","Dept. Total","543","3.908","86.4","8.3","1.5","0.9","",".","0.4","0.4","",".","",".",".","",".","",".","2.2",".",".","."
