"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Teachng Foundtions College Art","706
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Grad Intaglio Printmaking I","726
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GRD Interdisciplinary Critique","740
001","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Art","908
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
017","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
018","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
019","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
032","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
042","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
050","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
055","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
059","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
078","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
092","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","224","4.000","99.1",".",".",".",".",".",".",".",".",".",".",".","0.4",".","0.4","."
