"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","240
001","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","Course Total","45","3.878","82.2","13.3","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Incarceration and Education","250
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277
001","187","3.898","93.0","3.2","1.1",".","0.5",".","1.6",".",".",".",".",".",".","0.5",".","."
"Tchg Rdg & Other Lang Arts","305
001","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Language Acquisition and Use","311
001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of ESL Education","312
001","123","3.878","80.5","15.4","3.3","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316
001","33","3.970","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","39","3.859","79.5","12.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","40","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
004","23","3.826","82.6","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","Course Total","133","3.872","82.0","11.3","6.0","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Arts Integration","328
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Outside School","331
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339
001","80","3.906","85.0","12.5","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Writing and Other ELA","347
001","26","3.385","42.3","38.5","3.8",".","11.5",".","3.8",".",".",".",".",".",".",".",".","."
"","357
002","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","19","3.500","68.4","10.5","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","357
004","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","Course Total","57","3.746","78.9","7.0","8.8","1.8","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","20","3.917","75.0","15.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Tching Math in Inclusive Set","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366
001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
005","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ. Practicum II","Course Total","115","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","370
001","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","36","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","29","3.672","62.1","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","113","3.850","81.4","8.8","8.0","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","371
001","142","3.792","79.6","12.7","2.1","2.1","1.4","2.1",".",".",".",".",".",".",".",".",".","."
"","372
001","29","3.804","82.8","10.3",".",".",".",".","3.4",".",".",".",".",".","3.4",".",".","."
"","372
002","34","3.941","94.1","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
