"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","Dept. Total","4084","3.182","33.3","18.6","18.1","12.6","8.5","1.5","0.6","4.4","",".","0.0","",".","1.7","0.4","0.0","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","3.538","67.6","13.9","5.6","3.7","6.5","1.9","0.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","740","3.120","38.0","17.7","14.3","15.4","11.2","1.9","1.1","0.1","",".",".","",".",".","0.1","0.1",".","."
"Junior","","1354","3.089","27.1","20.5","23.3","15.1","11.4","1.8","0.4",".","",".",".","",".",".","0.2",".",".","."
"Senior","","1262","3.199","32.9","21.2","19.7","14.7","7.5","1.6","0.6","0.1","",".","0.1","",".","0.6","0.6","0.1","0.2","."
"Undergraduates","","3464","3.146","32.8","20.0","19.5","14.7","9.8","1.7","0.7","0.1","",".","0.0","",".","0.2","0.3","0.1","0.1","."
"Special","","46","3.294","32.6","8.7","13.0","2.2","2.2",".","4.3","19.6","",".",".","",".",".","2.2",".","15.2","."
"Graduate","","575","3.685","36.7","11.1","9.6","0.9","0.9",".",".","29.4","",".",".","",".","10.8","0.5",".","0.2","."
"","Dept. Total","4085","3.182","33.3","18.6","18.1","12.6","8.5","1.5","0.6","4.4","",".","0.0","",".","1.7","0.4","0.0","0.3","."
