"BUS","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","",""
"","200
001","","55","3.173","36.4","21.8","18.2","12.7",".","9.1","1.8",".",".",".",".",".",".",".",".","."
"","200
002","","39","3.179","35.9","17.9","23.1","7.7","10.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"International Business","Course Total","","94","3.176","36.2","20.2","20.2","10.6","4.3","6.4","2.1",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Immersion in Intl Bus","350
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","403
001","","12","3.542","50.0","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","","10","3.300","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","","22","3.432","45.5","22.7","13.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad in Intl Bus","450
001","","21","3.929","95.2",".",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"235
INTL BUS","Dept. Total","","185","3.416","59.5","13.5","12.4","7.0","3.2","3.2","1.1",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","34","3.282","38.2","29.4","20.6","2.9","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Junior","","","71","3.263","57.7","9.9","12.7","8.5","5.6","4.2","1.4",".",".",".",".",".",".",".",".","."
"Senior","","","69","3.671","73.9","8.7","8.7","5.8","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","174","3.427","60.3","13.2","12.6","6.3","3.4","2.9","1.1",".",".",".",".",".",".",".",".","."
"Special","","","11","3.273","45.5","18.2","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","185","3.416","59.5","13.5","12.4","7.0","3.2","3.2","1.1",".",".",".",".",".",".",".",".","."
