"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Diseases of Wildlife","548
001","","14","3.071","28.6","21.4","28.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630
001","","96","3.323","31.3","18.8","39.6","4.2","6.3",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Diagnostic Imaging","638
001","","96","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","36","4.000","2.8",".",".",".",".",".",".","97.2",".",".",".",".",".",".",".","."
"","642
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","37","4.000","2.7",".",".",".",".",".",".","97.3",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","27","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","645
001","","34","4.000","29.4",".",".",".",".",".",".","70.6",".",".",".",".",".",".",".","."
"","645
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","36","4.000","30.6",".",".",".",".",".",".","69.4",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","39","4.000","51.3",".",".",".",".",".",".","48.7",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","39","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","675
011","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
023","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
028","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","85","4.000","71.8",".",".",".",".",".",".","28.2",".",".",".",".",".",".",".","."
"","699
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","710
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Species Rotation","Course Total","","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","711
001","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","711
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","Course Total","","12","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"SA Radiation Oncology","714
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","","26","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","","19","4.000","15.8",".",".",".",".",".",".","84.2",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","14","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","","17","4.000","52.9",".",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
