"BUS","","","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
236
M H R","2283","3.496","45.1","26.2","20.0","4.9","3.0","0.2","0.1","0.2","",".",".","",".","0.2","",".","0.0","0.0","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","36","3.194","11.1","38.9","30.6","16.7","2.8",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","311","3.293","19.9","39.5","28.6","6.4","4.5","0.3","0.6",".","",".",".","",".",".","",".",".",".","."
"Junior","648","3.398","34.6","27.6","26.1","7.3","4.2","0.3",".",".","",".",".","",".",".","",".",".",".","."
"Senior","678","3.535","46.0","26.4","20.5","4.3","2.5","0.1","0.1",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","1673","3.429","36.0","29.6","24.4","6.1","3.5","0.2","0.2",".","",".",".","",".",".","",".",".",".","."
"Special","91","3.489","44.0","25.3","17.6","4.4","6.6",".",".","1.1","",".",".","",".",".","",".",".","1.1","."
"Graduate","513","3.805","74.7","15.6","6.2","1.0","0.8",".",".","0.6","",".",".","",".","1.0","",".","0.2",".","."
"Prof Yr 2","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","6","3.679","83.3",".",".","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Dept. Total","2283","3.496","45.1","26.2","20.0","4.9","3.0","0.2","0.1","0.2","",".",".","",".","0.2","",".","0.0","0.0","."
