"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"OTM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","82","3.372","35.4","31.7","13.4","13.4","4.9","1.2",".",".","",".",".","",".",".",".",".",".","."
"Junior","253","3.361","34.8","30.8","17.4","9.5","5.1","1.6","0.4",".","",".",".","",".",".","0.4",".",".","."
"Senior","270","3.489","38.1","34.8","17.8","6.7","1.9","0.7",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","606","3.421","36.5","32.7","17.0","8.7","3.6","1.2","0.2",".","",".",".","",".",".","0.2",".",".","."
"Special","15","3.233","33.3","26.7","26.7","6.7",".",".","6.7",".","",".",".","",".",".",".",".",".","."
"Graduate","460","3.712","58.9","30.4","7.0","2.2","0.9",".",".","0.2","",".",".","",".","0.4",".",".",".","."
"Prof Yr 2","11","3.839","63.6","36.4",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","15","3.884","73.3","26.7",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
