"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100","001","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","28","3.821","89.3","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"100","004","","30","3.950","96.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemistry Freshman Seminar","Course Total","","118","3.928","94.1","3.4","0.8","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"104","001","","39","3.808","84.6","7.7","2.6",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"104","002","","700","3.929","91.4","3.3","2.7","1.0","0.6",".",".","1.0",".",".",".",".",".",".",".","."
"Molecules to Life & Science","Course Total","","739","3.923","91.1","3.5","2.7","0.9","0.7","0.1",".","0.9",".",".",".",".",".",".",".","."
"299","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","098","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","288","3.622","62.8","14.6","12.8","4.9","4.2","0.7",".",".",".",".",".",".",".",".",".","."
"501","002","","483","3.555","58.0","15.1","13.7","5.8","6.2","0.6",".","0.6",".",".",".",".",".",".",".","."
"Introduction-Biochemistry","Course Total","","771","3.580","59.8","14.9","13.4","5.4","5.4","0.6",".","0.4",".",".",".",".",".",".",".","."
"General Biochemistry I
507","001","","99","3.389","36.4","31.3","19.2","6.1","4.0","3.0",".",".",".",".",".",".",".",".",".","."
"General Biochemistry II
508","001","","66","2.906","28.8","3.0","34.8","3.0","18.2","7.6","1.5",".",".",".",".",".",".",".","3.0","."
"Nutr Biochm & Mtblsm
510","001","","104","3.341","47.1","9.6","26.0","4.8","9.6","2.9",".",".",".",".",".",".",".",".",".","."
"Biochemical Methods
551","001","","78","3.782","65.4","28.2","3.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Protein&Enzyme Struct&Funct
601","001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology
609","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol
612","001","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Biochemistry
621","001","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Plant Genetics
631","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis
645","001","","20","3.150","50.0",".","30.0",".","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"681","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis
691","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 11 of 481"
