"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis
110","001","","88","3.727","65.9","18.2","12.5","2.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Anatomy & Physiology of Speech
201","001","","58","3.207","34.5","20.7","24.1","6.9","8.6","3.4","1.7",".",".",".",".",".",".",".",".","."
"Hearing Science
202","001","","61","3.107","37.7","19.7","9.8","14.8","11.5","1.6","4.9",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt
240","001","","98","3.653","56.1","27.6","11.2","3.1","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception
303","001","","92","3.614","60.9","20.7","9.8","4.3","2.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Phonetics and Phon. Dvlpt.
315","001","","93","3.511","46.2","32.3","9.7","5.4","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology
320","001","","91","3.599","53.8","25.3","13.2","4.4","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Sign Language I
424","001","","132","3.784","84.1","6.1","3.8","0.8","2.3","3.0",".",".",".",".",".",".",".",".",".","."
"Undergraduate Junior Honors
481","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang
503","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"699","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","12","3.704","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","80","3.947","97.5","1.3",".",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Clinical Foundations for SLP
700","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Aug & Alt Communication
701","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn
703","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders
708","001","","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 223 of 481",""
