"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Smr: Social&Natural Sci","107
001","16","3.406","50.0","18.8","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","130
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
003","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","130
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
005","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","130
006","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
007","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
008","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
009","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC First-Year Seminar","Course Total","130","3.942","95.4","3.1",".","0.8",".",".","0.8",".",".",".",".",".",".",".",".","."
"","139
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
003","20","3.200","35.0","30.0","5.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","139
004","18","3.306","44.4","27.8","5.6","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","139
005","11","3.318","36.4","45.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","83","3.560","62.7","20.5","3.6","7.2",".","4.8","1.2",".",".",".",".",".",".",".",".","."
"","144
001","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
002","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
003","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Success in Your Math Course","Course Total","106","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","237","3.922","94.1","3.0","0.8",".","1.3","0.4","0.4",".",".",".",".",".",".",".",".","."
"","145
002","136","3.857","90.4","4.4","1.5","0.7","0.7","0.7","1.5",".",".",".",".",".",".",".",".","."
"","145
003","178","3.824","87.6","5.6","1.1","1.1","0.6","0.6","2.2",".",".",".",".",".","0.6","0.6",".","."
"How to Succeed in College","Course Total","551","3.874","91.1","4.2","1.1","0.5","0.9","0.5","1.3",".",".",".",".",".","0.2","0.2",".","."
"","158
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","158
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","158
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","158
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spark Seminar","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","22","3.773","77.3","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","210
002","20","3.575","80.0","5.0",".",".","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","210
003","21","3.548","71.4",".","4.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","210
004","21","3.738","71.4","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","19","3.763","89.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210
006","15","3.667","86.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","210
007","20","3.625","70.0","15.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","210
008","18","3.444","72.2","11.1",".",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","210
009","18","3.444","66.7","16.7",".","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","210
010","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
011","16","3.438","68.8","6.3","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","210
012","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
