"Latin Poetry","519
001","","8","3.875","75.0","25.0",".",".",".","",".","",".",".",".",".",".","",".","","",".",".",".","."
"","890
041","","2","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","890
042","","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","Dept. Total","","60","3.498","46.7","21.7","11.7","8.3","5.0","",".","",".","5.0","1.7",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.779","55.6","44.4",".",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","","15","3.153","33.3","20.0","13.3","13.3","20.0","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","","6","3.583","66.7",".","16.7","16.7",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.493","42.1","26.3","21.1","10.5",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","49","3.450","44.9","24.5","14.3","10.2","6.1","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","9","3.917","55.6","11.1",".",".",".","",".","",".","22.2","11.1",".","",".","",".","",".",".",".","."
"","Dept. Total","","60","3.498","46.7","21.7","11.7","8.3","5.0","",".","",".","5.0","1.7",".","",".","",".","",".",".",".","."
