"TERM : 1262","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations in Art Education
323
002","","7","3.500","42.9","42.9","",".",".","","14.3","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Methods in Art Education
324
001","","7","3.714","85.7",".","",".",".","","14.3","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Practicum in Art Education
327
002","","7","3.429","85.7",".","",".",".","",".","",".","14.3",".","",".","",".",".","",".","","",".",".",".","."
"Dept. Total
176
ART ED","","21","3.518","71.4","14.3","",".","",".","9.5","",".","4.8","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","21","3.518","71.4","14.3","",".","",".","9.5","",".","4.8","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","21","3.518","71.4","14.3","",".","",".","9.5","",".","4.8","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","21","3.518","71.4","14.3","",".","",".","9.5","",".","4.8","",".","",".",".","",".","",".","",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 81 of 481"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"report..","","","","","","","","","","","","","","","","","","","","","","","","","","",""
