"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","159","3.645","61.6","20.1","10.1","5.7","1.3","0.6","0.6",".",".",".",".",".",".",".",".","."
"","110
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Learning Community Sem","Course Total","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"A Global History of Now","146
001","","32","3.734","68.8","21.9","6.3",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"","210
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
007","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intl Learning Community Lang","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","220
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
002","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to the Middle East","266
001","","36","3.500","47.2","11.1","13.9","8.3","5.6",".",".","13.9",".",".",".",".",".",".",".","."
"Lead with Languages","275
001","","22","3.545","68.2","13.6",".","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"","320
002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","320
006","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","28","3.813","82.1","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Soc Mvments & Rvlutions Lat Am","325
001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Globalization and Education","335
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373
001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
003","","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","48","3.892","91.7",".","6.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","403
005","","11","3.318","45.5","27.3",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","403
006","","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","Course Total","","24","3.438","45.8","25.0","12.5","12.5",".","4.2",".",".",".",".",".",".",".",".",".","."
"Contentious Politics","431
001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Global Security","601
001","","18","3.500","50.0","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Topics-International Studies","620
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
