"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Sciences
101","001","","165","3.100","26.7","22.4","23.6","10.9","10.9","4.8","0.6",".",".",".",".",".",".",".",".","."
"102","001","","45","3.789","80.0","13.3","2.2","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"102","002","","45","3.689","77.8","4.4","13.3",".",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"102","003","","47","3.691","72.3","12.8","8.5","2.1",".","4.3",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Sciences Lab","Course Total","","137","3.723","76.6","10.2","8.0","1.5",".","2.2","1.5",".",".",".",".",".",".",".",".","."
"135","001","","47","3.809","87.2","4.3","4.3",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"135","002","","46","3.891","89.1","4.3","4.3",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Careers in Animal Sciences","Course Total","","93","3.849","88.2","4.3","4.3",".","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Biol&Apprec-Companion Anmls
200","001","","130","3.159","39.2","17.7","12.3","12.3","10.0","6.9","0.8","0.8",".",".",".",".",".",".",".","."
"Animal Welfare
245","001","","84","3.167","15.5","35.7","22.6","19.0","7.1",".",".",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Meat Sci & Technology
305","001","","16","3.219","37.5","12.5","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal Behavior
324","001","","32","3.422","46.9","15.6","15.6","18.8","3.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Growth and Development
336","001","","50","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics
366","001","","31","3.617","38.7","41.9","16.1",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"375","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.863","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ruminant Nutr & Metab
414","001","","7","2.714","14.3","14.3","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Appl-Monogastrc Nutr Prncpl
415","001","","10","3.667","60.0","20.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Reproductive Physiology
434","001","","44","3.500","56.8","13.6","15.9","9.1","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Animal Sciences Proseminar
435","001","","70","3.764","67.1","18.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Genetics
610","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis
681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 27 of 481"
