"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof
306","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","3","***","","","","","","","","","","","","","","","",""
"441","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"446","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"454","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RNs
519","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
