"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Business Data Visualization","Course Total","102","3.575","36.3","43.1","18.6","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","730
010","44","3.920","86.4","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
011","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
080","79","3.835","73.4","21.5","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prescriptive Modeling & Opt","Course Total","146","3.849","75.3","19.9","4.1","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","740
010","21","3.714","57.1","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","740
011","45","3.633","48.9","35.6","11.1","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","740
050","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
080","81","3.642","54.3","30.9","6.2","6.2","2.5",".",".",".",".",".",".",".",".",".",".","."
"Expmnts CausMthds-","Course Total","171","3.675","55.6","31.6","7.0","4.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Robotic Process Automation","745
080","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
010","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
011","42","3.798","73.8","16.7","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","746
080","19","3.711","68.4","5.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv SQL & Data Warehousing","Course Total","82","3.750","67.1","18.3","13.4",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","8","",".",".",".",".",".",".",".",".",".","62.5",".",".",".",".","37.5","."
"","760
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
010","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
011","51","3.912","90.2","5.9",".","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","760
050","23","3.587","34.8","47.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Data Technology","Course Total","101","3.856","79.2","14.9","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","780
010","49","3.908","83.7","14.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","780
011","27","3.667","63.0","22.2","11.1",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Cloud Technology","Course Total","76","3.822","76.3","17.1","5.3",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"Business Stats Using Python","881
080","40","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"SQL Fundamentals","882
080","42","3.857","81.0","11.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization Cloud Tech","883
080","40","3.850","82.5","7.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning a Research Career","933
001","15","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
