"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"Introduction to Computing","102
001","67","3.915","91.0","4.5",".",".",".",".","1.5","3.0",".",".",".",".",".",".",".","."
"The Information Society","201
001","132","3.708","72.0","15.9","6.8","1.5","1.5",".","2.3",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","401","3.901","91.8","2.5","3.5","0.2","1.0","0.2","0.5","0.2",".",".",".",".",".",".",".","."
"Digital: Privacy & Technology","220
001","55","3.709","70.9","18.2","3.6","3.6","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","26","3.380","73.1",".","7.7","3.8",".",".","11.5",".",".",".",".",".",".","3.8",".","."
"Intro to Digital Information","351
001","148","3.736","75.0","15.5","3.4","2.0","1.4","1.4","1.4",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","5","***","","","","","","","","","","","","","","","",""
"","407
001","41","3.293","22.0","46.3","24.4","2.4",".",".","4.9",".",".",".",".",".",".",".",".","."
"","407
002","30","3.690","86.7",".",".",".","3.3","3.3","3.3",".",".",".",".",".","3.3",".",".","."
"","407
003","87","3.663","75.9","9.2","4.6","2.3","3.4",".","3.4",".",".",".",".",".",".",".","1.1","."
"Data Storytelling","Course Total","158","3.571","63.9","17.1","8.9","1.9","2.5","0.6","3.8",".",".",".",".",".","0.6",".","0.6","."
"Concepts of Data & Info Scienc","440
001","137","3.887","89.8","2.9","5.8","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"","460
001","22","3.432","40.9","27.3","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","460
002","10","3.250","50.0",".","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Surv, Privacy, Police Powers","Course Total","32","3.375","43.8","18.8","15.6","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"","461
001","127","3.886","81.9","14.2","3.1","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","461
002","199","3.862","84.4","9.5","3.0","2.0","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"","461
003","48","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
004","126","3.917","85.7","12.7","0.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","500","3.889","84.4","11.8","2.2","1.2","0.2",".","0.2",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","95","3.721","74.7","13.7","6.3","2.1",".","1.1","2.1",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","62","3.476","61.3","11.3","11.3","6.5","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"Intro to Web Development","472
001","33","3.500","39.4","36.4","12.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","500
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
006","33","3.688","69.7","6.1","12.1","6.1","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"Code and Power","Course Total","49","3.708","71.4","8.2","8.2","8.2","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","501
001","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
003","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","40","3.775","62.5","30.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
001","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","510
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
004","40","3.388","72.5","7.5","5.0",".","2.5","2.5","10.0",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 289 of 481",""
