"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","9","2.333",".","11.1","33.3","11.1","22.2","22.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","13","2.769",".","30.8","30.8","15.4","15.4","7.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","22","3.136","22.7","27.3","27.3",".","22.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","48","2.844","10.4","25.0","29.2","6.3","22.9","6.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","14","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","436","3.384","52.5","15.8","15.8","9.6","4.6","1.4","0.2","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","422","3.569","72.3","12.3","7.3","5.0","2.6","0.2","0.2","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","440","3.721","78.0","10.9","6.8","2.0","2.0","0.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","284","3.908","89.1","6.3","2.8","1.4",".","0.4",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1582","3.723","71.4","11.8","8.7","4.8","2.5","0.6","0.1","",".","",".",".","",".","",".","",".",".",".","."
