"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","208","3.870","91.8","1.9","2.9","1.0","1.0",".","1.4",".",".",".",".",".",".",".",".","."
"","100
002","206","3.910","92.2","2.9","1.9","1.5","1.0","0.5",".",".",".",".",".",".",".",".",".","."
"","100
003","158","3.845","91.8","2.5","0.6","0.6","2.5",".","1.9",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","572","3.878","92.0","2.4","1.9","1.0","1.4","0.2","1.0",".",".",".",".",".",".",".",".","."
"","102
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","19","3.605","73.7","5.3","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.167","55.6","16.7",".","5.6","5.6","11.1","5.6",".",".",".",".",".",".",".",".","."
"","102
006","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"2D Foundations","Course Total","104","3.726","78.8","9.6","4.8","1.0","1.9","2.9","1.0",".",".",".",".",".",".",".",".","."
"","104
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","16","3.594","56.3","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","16","3.813","81.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
006","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3D Foundations","Course Total","76","3.816","80.3","6.6","9.2","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","107
001","122","3.824","88.5","6.6","0.8","0.8",".","0.8","2.5",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","153","3.796","80.4","6.5","6.5","3.9","1.3","0.7",".","0.7",".",".",".",".",".",".",".","."
"","112
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","17","3.735","82.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","112
006","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
007","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","112
008","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing for Non-Art Majors","Course Total","92","3.875","91.3","3.3","3.3",".",".","1.1","1.1",".",".",".",".",".",".",".",".","."
"","176
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","13","3.769","76.9","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","176
005","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
006","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","83","3.825","75.9","15.7","7.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","212
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing Foundations","Course Total","72","3.903","86.1","9.7","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","214
001","12","3.708","83.3",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","214
002","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","24","3.813","83.3","8.3",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","222
001","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 75 of 481"
