"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","85","2.577","21.2","8.2","14.1","14.1","27.1","9.4","4.7",".",".",".",".",".","1.2",".",".","."
"","101
002","89","2.624","21.3","7.9","25.8","4.5","27.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","174","2.601","21.3","8.0","20.1","9.2","27.0","8.0","5.7",".",".",".",".",".","0.6",".",".","."
"","102
001","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","6","2.917","50.0",".","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","102
003","9","2.944","33.3","11.1","11.1","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.227","27.3","9.1","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","2.786","57.1","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"","102
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","11","3.318","36.4","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","7","3.214","42.9","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
009","7","2.714",".","14.3","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
010","10","3.450","50.0","10.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","9","3.389","55.6","11.1",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
012","10","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
013","7","2.571","14.3","14.3","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".","."
"","102
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","110","3.095","35.5","13.6","21.8","10.9","11.8","3.6","2.7",".",".",".",".",".",".",".",".","."
"Introduction to Freshwater","115
001","17","3.765","82.4","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","151
001","55","3.073","36.4","1.8","40.0","5.5","7.3","7.3","1.8",".",".",".",".",".",".",".",".","."
"","151
002","64","2.875","14.1","15.6","37.5","9.4","17.2","6.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","119","2.966","24.4","9.2","38.7","7.6","12.6","6.7","0.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","134","3.317","38.8","14.9","33.6","3.7","6.0","2.2","0.7",".",".",".",".",".",".",".",".","."
"","153
001","21","3.095","33.3","4.8","33.3","4.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"","153
002","45","2.978","24.4","6.7","42.2","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","66","3.015","27.3","6.1","39.4","6.1","16.7","4.5",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","69","3.377","31.9","27.5","27.5","10.1","2.9",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Dinosaurs","275
001","85","3.445","40.0","27.1","17.6","7.1","2.4","2.4",".","2.4",".",".",".",".","1.2",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","11","2.727","27.3","9.1","18.2","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","86","3.705","58.1","15.1","15.1","1.2","1.2",".",".",".",".",".",".",".",".","9.3",".","."
"","316
001","16","3.813","87.5",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","316
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","52","3.933","94.2","1.9","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
