"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
043","16","3.656","87.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","110
044","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
045","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
046","30","3.700","70.0","20.0","3.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","110
100","48","3.688","79.2","4.2","4.2","8.3","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","1068","3.911","91.3","4.4","2.2","1.1","0.6","0.1","0.4",".",".",".",".",".",".",".",".","."
"Exploring Business","112
001","33","3.909","87.9","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Business I","206
100","44","3.250","45.5","22.7","11.4","2.3","4.5",".","9.1",".",".",".",".",".","4.5",".",".","."
"","240
001","95","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"","240
002","86","3.558","51.2","27.9","15.1","2.3",".","2.3","1.2",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","181","3.789","76.2","13.3","7.2","1.1",".","1.1","0.6","0.6",".",".",".",".",".",".",".","."
"Sustainable Capitalism","250
001","106","3.434","36.8","27.4","29.2","2.8","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Business Law","301
001","512","3.334","15.8","45.7","28.9","8.6","1.0",".",".",".",".",".",".",".",".",".",".","."
"","306
001","102","3.417","44.1","16.7","22.5","11.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"","306
002","121","3.260","38.8","16.5","19.0","15.7","8.3",".","1.7",".",".",".",".",".",".",".",".","."
"","306
003","114","3.254","31.6","20.2","27.2","13.2","7.0",".","0.9",".",".",".",".",".",".",".",".","."
"","306
004","98","3.332","38.8","22.4","15.3","13.3","10.2",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","435","3.311","38.2","18.9","21.1","13.6","7.6",".","0.7",".",".",".",".",".",".",".",".","."
"","307
001","52","3.221","21.2","40.4","13.5","15.4","7.7","1.9",".",".",".",".",".",".",".",".",".","."
"","307
002","76","3.033","18.4","39.5","10.5","17.1","5.3","6.6","2.6",".",".",".",".",".",".",".",".","."
"","307
003","108","3.236","21.3","39.8","15.7","18.5","0.9","3.7",".",".",".",".",".",".",".",".",".","."
"","307
004","108","3.296","28.7","36.1","13.0","17.6","0.9","3.7",".",".",".",".",".",".",".",".",".","."
"","307
005","107","3.294","27.1","37.4","15.9","12.1","4.7","2.8",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","451","3.228","23.9","38.4","14.0","16.2","3.3","3.8","0.4",".",".",".",".",".",".",".",".","."
"","308
001","43","3.965","97.7",".",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","46","3.870","84.8","8.7","4.3",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Cloud Based Business Analytics","Course Total","89","3.916","91.0","4.5","2.2","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","271","3.162","21.0","29.5","17.7","23.2","7.0",".","0.4",".",".",".",".",".",".",".","1.1","."
"Mgmt & Mrktg Non-Bus Majors","311
001","319","3.440","45.1","29.5","12.5","5.3","3.4","2.5","1.6",".",".",".",".",".",".",".",".","."
"Math Business Analytics","317
001","35","3.414","37.1","31.4","17.1","5.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","20","3.800","75.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","360
007","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
009","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
010","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
