"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","26","3.712","69.2","11.5","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","23","3.413","47.8","21.7","13.0",".","17.4",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Computation Methods","717","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equations","719","001","","23","3.652","65.2","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","32","3.468","43.8","21.9","15.6","12.5","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","29","3.586","48.3","31.0","13.8","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","34","3.532","38.2","20.6","32.4",".",".",".",".",".",".",".",".",".","8.8",".",".","."
"Homological Algebra","750","001","","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","29","3.810","82.8",".","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Ergodic Theory","758","001","","37","3.919","97.3",".",".",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","29","3.690","58.6","20.7","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Adv Topics-Real Analysis","821","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Functional Analysis","825","001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Number Theory","848","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamc on Moduli Spce","858","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Math Data Science","888","001","","14","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Graduate Teaching Seminar","900","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","921","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Analysis","","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","951","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","951","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","96","001","","55","3.082","41.8","12.7","14.5","10.9","9.1","7.3","3.6",".",".",".",".",".",".",".",".","."
"","96","002","","51","3.108","35.3","15.7","23.5","5.9","13.7","2.0","3.9",".",".",".",".",".",".",".",".","."
"","96","003","","55","3.164","38.2","14.5","23.6","7.3","9.1","5.5","1.8",".",".",".",".",".",".",".",".","."
"","96","004","","53","3.132","45.3","18.9","13.2","3.8","5.7","5.7","7.5",".",".",".",".",".",".",".",".","."
"","96","005","","57","2.763","28.1","10.5","19.3","8.8","21.1","5.3","7.0",".",".",".",".",".",".",".",".","."
"","96","006","","59","3.110","33.9","20.3","18.6","5.1","15.3","5.1","1.7",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 302 of 481",""
