"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"Pedagogical Theory & Practice","Course Total","31","3.903","90.3","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
003","16","3.594","62.5","25.0",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","640
007","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","640
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","16","3.344","50.0","12.5","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","640
014","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
026","19","3.769","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
027","14","3.393","64.3","7.1","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","640
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","118","3.674","66.9","19.5","5.9","1.7","3.4","2.5",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
003","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","655
002","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","21","3.881","90.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","663
001","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","663
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cyberlaw","Course Total","18","3.417","22.2","44.4","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","668
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","668
002","12","3.792","83.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","18","3.853","83.3",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"","678
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","678
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","Course Total","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","706
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
001","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 291 of 481",""
