"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
053","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
054","14","3.571","64.3","7.1","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
056","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
057","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","15","3.433","20.0","60.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
059","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
063","15","3.633","53.3","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
064","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
065","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
067","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","827","3.721","64.1","24.8","6.3","2.9","1.0","0.5","0.4",".",".",".",".",".","0.1",".",".","."
"Intro-Digital Media Production","155
001","111","3.650","62.2","20.7","9.0","1.8","4.5",".","0.9",".",".",".",".",".","0.9",".",".","."
"","181
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","181
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","Course Total","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","97","3.825","85.6","6.2","2.1","4.1","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","231","3.231","16.5","47.2","22.9","5.6","2.2","2.2","2.6","0.9",".",".",".",".",".",".",".","."
"","260
001","235","3.756","73.2","16.2","4.3","2.6","2.6","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"","260
101","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","Course Total","243","3.754","72.8","16.0","4.9","2.5","2.5","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"Argumentation and Debate","262
001","105","3.800","83.8","8.6","3.8","1.0",".","1.0","1.9",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","23","3.087","4.3","34.8","43.5","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","147","3.558","55.8","24.5","10.2","2.7","3.4","2.7","0.7",".",".",".",".",".",".",".",".","."
"Directed Study","299
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310
001","46","3.678","67.4","15.2","2.2","8.7","4.3",".",".","2.2",".",".",".",".",".",".",".","."
"Disability and the Media","312
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","55","3.433","43.6","25.5","12.7","5.5","3.6","1.8","1.8","5.5",".",".",".",".",".",".",".","."
"","313
002","34","3.056","11.8","26.5","14.7","11.8","14.7",".",".","20.6",".",".",".",".",".",".",".","."
"","313
003","25","3.640","36.0","56.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
005","23","3.370","34.8","34.8","13.0","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","Course Total","137","3.382","32.8","32.8","12.4","5.8","7.3","0.7","0.7","7.3",".",".",".",".",".",".",".","."
"Business & Culture of Disney","323
001","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media as Literature","335
001","96","3.203","27.1","21.9","29.2","14.6","4.2","3.1",".",".",".",".",".",".",".",".",".","."
"Human Communication and AI","343
001","61","3.647","42.6","34.4","3.3","1.6",".",".","1.6","16.4",".",".",".",".",".",".",".","."
"Online Comm & Personal Rltnshp","345
001","95","3.416","33.7","32.6","23.2","6.3","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","57","3.088","21.1","26.3","29.8","8.8","8.8","3.5","1.8",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347
001","48","3.552","54.2","22.9","12.5",".","10.4",".",".",".",".",".",".",".",".",".",".","."
