"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Hum/An Relatn:Bio&Phils Iss
335","001","","39","3.568","35.9","41.0","12.8","5.1",".",".",".","5.1",".",".",".",".",".",".",".","."
"Extinction of Species
360","001","","129","3.531","48.8","21.7","21.7","3.9","3.1","0.8",".",".",".",".",".",".",".",".",".","."
"Topics in Biology
400","002","","27","3.556","44.4","29.6","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Museum Studies
405","001","","15","3.895","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology
410","001","","32","3.250","40.6","9.4","31.3","3.1","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"Compar Anatomy-Vertebrates
430","001","","21","3.024","33.3",".","38.1","4.8","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"General Ecology
460","001","","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Neurobiology Seminar
500","001","","181","3.925","95.0","1.7","0.6","1.1","1.1",".","0.6",".",".",".",".",".",".",".",".","."
"Conservation Biology
516","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurobiology
523","001","","221","3.171","32.6","19.5","21.7","9.0","12.7","2.7","0.9",".",".",".",".",".","0.9",".",".","."
"Theoretical Ecology
540","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Developmental Biology
555","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell Biology
570","001","","119","2.828","25.2","5.0","30.3","7.6","22.7","9.2",".",".",".",".",".",".",".",".",".","."
"Neuroethology Seminar
620","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Ecology
660","001","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Neuroendo Seminar
674","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","140","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
