"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Foundations APN Clin Pract I","Course Total","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"728","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"728","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev I","Course Total","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Soc Theo in Pop Hlth
730","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Famly&Child
741","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Psychiatric
751","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach/Learn in Clinical/Sim
784","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach & Learn Healthcare Prac
787","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Design & Methods
803","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Pathophysiology
811","001","","18","3.500","33.3","44.4","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Knowledge Developmt in Nursing
815","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"816","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"816","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"816","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clincal Field Practicum
819","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"826","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826","060","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"828","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"828","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"828","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","23","3.776","87.0","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"847","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"847","004","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy Practicum","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","044","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 460 of 481",""
