"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Ambulatry Phmceut Care Clrk","Course Total","","33","3.924","87.9","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","005","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","003","","31","3.871","80.6","12.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","31","3.839","83.9","12.9",".",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"760","005","","39","3.949","94.9","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"760","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","112","3.897","87.5","8.9","1.8","0.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"761","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"761","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"761","118","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"761","218","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"International Pharm Clerkship","Course Total","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship
764","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","222","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy
961","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","028","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
