"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"Fermented Food and Beverages
150","001","","99","3.934","94.9",".","2.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Food Security
180","001","","42","3.940","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro to Sci & Technol of Food
301","001","","22","2.818","13.6","13.6","36.4","13.6","18.2",".","4.5",".",".",".",".",".",".",".",".","."
"324","003","","17","3.471","52.9",".","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","28","3.446","46.4","10.7","32.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology
325","001","","39","3.359","43.6","12.8","25.6","7.7","10.3",".",".",".",".",".",".",".",".",".",".","."
"Dairy Products Evaluation
330","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Food Chemistry
410","001","","25","3.200","32.0","24.0","28.0",".","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Food Service Operations
437","002","","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr
440","001","","23","2.717","13.0","17.4","26.1","21.7","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"Integrated Food Manufacturing
532","001","","25","3.000","28.0","16.0","24.0","16.0","4.0","12.0",".",".",".",".",".",".",".",".",".","."
"Confectionery Science&Technlgy
535","001","","16","3.000","12.5","12.5","37.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Food Fermentation Laboratory
551","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project
602","001","","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Seminar Advanced
900","001","","32","3.906","87.5","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 18 of 481"
