"Phys Asst Precptrshp: Emrg Med","759
001","33","3.848","72.7","24.2","3.0",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Phy Asst Preceptorship:Electve","769
001","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Public Health and PA Practice","787
001","17","",".",".",".",".","","",".","",".","",".",".","",".","","100.0",".","",".","","",".",".",".","."
"750
PHY ASST","Dept. Total","678","3.837","47.5","18.0","2.7","",".","",".","",".","",".","",".","",".","31.9","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","441","3.805","47.4","17.7","3.4","",".","",".","",".","",".","",".","",".","31.5","",".","",".","",".",".",".","."
"Prof Yr 2","","202","3.863","49.5","16.3","1.0","",".","",".","",".","",".","",".","",".","33.2","",".","",".","",".",".",".","."
"Prof Yr 4","","35","3.785","37.1","31.4","2.9","",".","",".","",".","",".","",".","",".","28.6","",".","",".","",".",".",".","."
"Professionals","","678","3.837","47.5","18.0","2.7","",".","",".","",".","",".","",".","",".","31.9","",".","",".","",".",".",".","."
"","Dept. Total","678","3.837","47.5","18.0","2.7","",".","",".","",".","",".","",".","",".","31.9","",".","",".","",".",".",".","."
