"PHARMACY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","",""
"","125
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring Pharmacy I","Course Total","","45","3.978","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Integrated Learning Lab","423
001","","132","3.985","97.7","1.5","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Genetics and Immunology","434
001","","132","3.420","41.7","23.5","18.9","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics in Pharmacy","490
001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Dangerous Drugs","563
001","","24","3.870","79.2","8.3","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","","94","3.585","47.9","29.8","14.9","6.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Legal Struct Contr Substances","612
001","","31","3.790","80.6","16.1",".",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Rural Pharmacy Practice","630
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
001","","29","3.534","55.2","24.1","13.8",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","674
002","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cannabinoids","Course Total","","51","3.725","72.5","15.7","7.8",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"CNS Drug Principles I","770
001","","34","3.864","76.5","14.7","5.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Research Ethics","800
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioethics & Sci Integrity","Course Total","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
