"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program
1","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Design
200","001","","134","3.914","84.3","14.2","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"BME Design and Leadership
300","001","","115","3.943","88.7","11.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioinstrumentation
310","001","","51","3.578","47.1","33.3","13.7",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics
315","001","","87","3.494","33.3","37.9","23.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues
330","001","","55","3.727","58.2","34.5","3.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"389","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"399","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","096","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","148","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","150","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","157","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","158","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","161","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","164","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","166","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","80","3.994","98.8","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Design Course
400","001","","138","3.989","98.6","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopaedic Biomechanics
414","001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation
462","001","","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 119 of 481",""
