"Research","Course Total","54","",".",".",".",".",".",".",".","40.7","1.9",".","",".","57.4","",".",".",".","."
"","999
004","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
016","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"640
ATM OCN","Dept. Total","818","3.501","42.8","23.1","14.8","5.5","2.8","0.5","0.6","4.6","0.2","0.1","",".","4.2","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","160","3.441","35.6","34.4","21.3","5.6","1.3","0.6","1.3",".",".",".","",".",".","",".",".",".","."
"Sophomore","","195","3.456","37.9","29.7","23.1","4.6","3.6","0.5","0.5",".",".",".","",".",".","",".",".",".","."
"Junior","","142","3.547","48.6","27.5","14.1","6.3","2.1",".","0.7",".","0.7",".","",".",".","",".",".",".","."
"Senior","","122","3.333","43.4","18.0","13.1","13.1","6.6","1.6","0.8",".",".","0.8","",".","2.5","",".",".",".","."
"Undergraduates","","619","3.448","40.9","28.1","18.6","6.9","3.2","0.6","0.8",".","0.2","0.2","",".","0.5","",".",".",".","."
"Special","","28","3.605","10.7","7.1",".","3.6",".",".",".","57.1",".",".","",".",".","",".",".","21.4","."
"Graduate","","171","3.818","55.0","7.6","3.5","0.6","1.8",".",".","12.9","0.6",".","",".","18.1","",".",".",".","."
"","Dept. Total","818","3.501","42.8","23.1","14.8","5.5","2.8","0.5","0.6","4.6","0.2","0.1","",".","4.2","",".",".","0.7","."
