"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","133","3.308","26.3","30.8","26.3","11.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","300
002","132","3.201","27.3","27.3","22.7","14.4","4.5","2.3","1.5",".",".",".",".",".",".",".",".","."
"","300
003","126","3.360","34.1","33.3","12.7","12.7","4.0","2.4",".",".",".",".",".",".","0.8",".",".","."
"Operations & Supply Chain Mgmt","Course Total","391","3.288","29.2","30.4","20.7","12.8","4.6","1.5","0.5",".",".",".",".",".","0.3",".",".","."
"Business Process Improvement","351
001","32","3.594","43.8","34.4","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","10","2.950","10.0","40.0","10.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","421
002","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","22","3.295","27.3","40.9","9.1","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","422
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","428
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","25","3.460","24.0","44.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","38","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
001","45","3.578","33.3","55.6","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","452
002","45","3.800","71.1","26.7",".",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"","452
003","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","116","3.733","59.5","33.6","4.3","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"","700
020","40","3.450","25.0","55.0","7.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","700
021","38","3.592","31.6","57.9","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","51","3.804","66.7","27.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations & Supply Chain Mgmt","Course Total","169","3.692","52.1","38.5","5.9","3.0","0.6",".",".",".",".",".",".",".",".",".",".","."
"Product Management","701
050","66","3.917","84.8","13.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","702
040","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Competing Through Analytics","703
040","20","3.600","55.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Managmnt","751
002","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","752
001","39","3.590","53.8","23.1","15.4","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","760
050","66","3.523","25.8","59.1","10.6","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"","765
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.980","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
