"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","708
001","64","3.609","43.8","48.4","3.1","1.6","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","708
010","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","91","3.709","57.1","37.4","2.2","1.1","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Social Policy","709
010","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","61","3.279","19.7","45.9","21.3","6.6","3.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"Psychopathology SW Pract in MH","712
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
010","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","44","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
021","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
031","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","800
032","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","800
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
042","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
121","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
131","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","800
132","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","109","3.977","92.7","4.6",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Soc Work Prac in Schools I","815
010","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools I","816
010","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SW Pract. in Aging & MH","821
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
010","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","43","3.940","88.4","7.0","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Mental Hlth Policies&Services","836
010","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","60","3.942","88.3","11.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog & MH Treatments for Adults","870
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 349 of 481",""
