"LANDSCAPE ARCHITECTURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"Earth Partnership IAS","106","001","19","3.658","68.4","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210","003","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","210","004","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arch Design Studio","","Course Total","18","3.667","77.8","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","250","011","141","3.533","59.6","17.0","9.9","2.1","2.1","3.5","2.1",".","0.7",".",".",".","2.8",".",".","."
"Prin Land Arc Dsgn&Graphics","261","002","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to frameworks and tech","311","001","59","3.873","86.4","5.1","5.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Tech II","354","001","25","2.920","20.0","20.0","24.0","12.0","20.0",".","4.0",".",".",".",".",".",".",".",".","."
"Eco-Restoration Education","363","001","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Mindfulness in Restorative Env","373","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants for Eco Design I","380","001","24","3.675","58.3","4.2","16.7",".","4.2",".",".","4.2",".",".",".",".","12.5",".",".","."
"Adv Visual Communication","460","002","24","3.250","54.2",".","33.3",".",".","8.3","4.2",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550","001","30","3.183","30.0","23.3","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Plants and Ecology in Design","560","001","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Designing Sustainable Regions","563","002","29","3.741","58.6","31.0","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Arch Capstone I","610","001","29","3.638","44.8","37.9","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","668","001","18","3.472","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","990","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Independent Studies","999","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
