"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","540
001","190","3.585","43.2","34.7","19.5","1.6",".",".","0.5",".",".",".",".",".","0.5",".",".","."
"","540
002","191","3.683","51.8","35.1","12.6",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"","540
003","166","3.646","50.0","30.1","16.9","1.2","0.6",".",".",".",".",".",".",".","1.2",".",".","."
"Intro-Artificl Intelligence","Course Total","547","3.638","48.3","33.5","16.3","0.9","0.2","0.2","0.2",".",".",".",".",".","0.5",".",".","."
"","544
001","271","3.331","36.5","22.1","22.5","13.7","3.0","0.7","1.1","0.4",".",".",".",".",".",".",".","."
"","544
002","281","3.274","34.9","18.9","24.6","16.7","3.2",".","1.8",".",".",".",".",".",".",".",".","."
"Intro Big Data Systems","Course Total","552","3.302","35.7","20.5","23.6","15.2","3.1","0.4","1.4","0.2",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","9","3.222","22.2","33.3","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","110","3.668","76.4","7.3","7.3","2.7","2.7","1.8","1.8",".",".",".",".",".",".",".",".","."
"","564
001","131","3.258","27.5","32.1","17.6","16.0","2.3","3.8",".",".",".",".",".",".","0.8",".",".","."
"","564
002","169","3.556","56.2","21.9","6.5","11.2","2.4","1.8",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","Course Total","300","3.426","43.7","26.3","11.3","13.3","2.3","2.7",".",".",".",".",".",".","0.3",".",".","."
"Intro Computer Vision","566
001","90","3.500","52.2","23.3","8.9","5.6","3.3","4.4",".","2.2",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","570
001","240","3.947","95.0","2.5",".","0.4","0.8",".","0.4",".",".",".",".",".","0.8",".",".","."
"","571
001","142","3.405","35.9","35.9","13.4","7.0","6.3","0.7","0.7",".",".",".",".",".",".",".",".","."
"","571
002","138","3.442","30.4","42.8","15.9","8.0","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"Building User Interfaces","Course Total","280","3.423","33.2","39.3","14.6","7.5","4.3","0.7","0.4",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576
001","41","3.171","39.0","14.6","19.5","9.8","9.8","7.3",".",".",".",".",".",".",".",".",".","."
"","577
001","305","2.892","26.6","11.1","21.0","15.7","17.4","6.9","1.3",".",".",".",".",".",".",".",".","."
"","577
002","87","3.128","25.3","17.2","29.9","10.3","16.1",".",".","1.1",".",".",".",".",".",".",".","."
"","577
003","47","3.840","70.2","27.7","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","439","3.040","31.0","14.1","20.7","13.0","15.3","4.8","0.9","0.2",".",".",".",".",".",".",".","."
"User Experience Design 1","611
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","99","3.944","91.9","5.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","49","3.908","83.7","14.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Sciences Capstone","Course Total","148","3.932","89.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","30","3.552","50.0","26.7","10.0",".","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"","639
002","30","3.707","66.7","23.3","3.3",".",".",".","3.3","3.3",".",".",".",".",".",".",".","."
"","639
003","22","3.591","40.9","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"UG Elective Topic in Computing","Course Total","82","3.619","53.7","29.3","8.5","1.2","3.7",".","1.2","2.4",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","56","3.583","37.5","41.1","14.3","3.6",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro to Information Security","642
001","54","3.639","70.4","1.9","24.1",".","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","681
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
101","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
141","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
148","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
154","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
164","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 229 of 481",""
