"","699
016","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
040","","2","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
047","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Studies-Molec Biol","Course Total","","7","4.000","85.7","",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","14.3","."
"650
MOL BIOL","Dept. Total","","16","4.000","50.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","43.8","",".",".","6.3","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650
MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","","1","***","","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","2","***","","","","","","","","","","","","","","","","","",".","",".","50.0","",".",".",".","."
"Senior","","","12","4.000","41.7","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","50.0","",".",".","8.3","."
"Undergraduates","","","16","4.000","50.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","43.8","",".",".","6.3","."
"","Dept. Total","","16","4.000","50.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","43.8","",".",".","6.3","."
