"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"HPE in Multicultural Society","353","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360","001","","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360","002","","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","","Course Total","","94","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","87","3.465","44.8","26.4","14.9","5.7","4.6","2.3",".",".",".",".",".",".","1.1",".",".","."
"Adap PE Comm Eng","362","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt Strat in Adapt Phys Ed","363","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Pln, Fac, Assess Mvmt & Hlth","370","001","","68","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods & Prac of 6-12PE","373","001","","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","67","3.560","58.2","19.4","10.4","6.0","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"","501","001","","47","3.798","76.6","19.1","2.1",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","501","002","","16","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","","Course Total","","63","3.706","66.7","20.6","7.9","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"","508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","508","002","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","","Course Total","","23","3.864","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","33","3.938","93.9",".",".",".","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"Physical Activity & Health","521","002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","26","3.827","76.9","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prin. Strength & Conditioning","527","001","","23","3.783","87.0","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Skills for Health","547","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","555","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555","002","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
