"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","240","3.146","16.3","37.5","23.8","15.0","2.5","4.6","0.4",".",".",".",".",".",".",".",".","."
"","300
002","245","3.255","20.4","40.8","22.0","10.2","3.7","2.0","0.8",".",".",".",".",".",".",".",".","."
"","300
003","224","3.150","17.0","39.3","20.5","15.6","3.6","1.8","2.2",".",".",".",".",".",".",".",".","."
"","300
100","37","3.027","37.8","24.3","10.8","2.7","13.5",".","10.8",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","746","3.177","18.9","38.5","21.6","13.0","3.8","2.7","1.6",".",".",".",".",".",".",".",".","."
"","305
001","26","3.173","15.4","26.9","38.5","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"","305
002","38","3.132","26.3","36.8","15.8","5.3","5.3","7.9","2.6",".",".",".",".",".",".",".",".","."
"","305
003","38","3.342","23.7","39.5","23.7","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"","305
004","32","3.031","9.4","34.4","31.3","15.6","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"","305
100","24","3.229","33.3","25.0","16.7","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","158","3.184","21.5","33.5","24.7","10.8","5.1","3.8","0.6",".",".",".",".",".",".",".",".","."
"","310
001","43","3.860","76.7","18.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","31","3.339","22.6","35.5","29.0","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","46","3.359","17.4","41.3","37.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
004","35","3.343","25.7","28.6","40.0",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","155","3.490","36.8","31.0","27.1","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"","335
001","38","3.408","44.7","26.3","10.5","7.9","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"","335
002","35","3.600","60.0","17.1","11.4","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","73","3.500","52.1","21.9","11.0","6.8","6.8","1.4",".",".",".",".",".",".",".",".",".","."
"Global Immersion in Marketing","350
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","40","3.463","32.5","37.5","27.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"","355
002","39","3.526","35.9","41.0","17.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","355
003","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
004","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","355
100","19","3.368","42.1","21.1","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","145","3.541","40.7","36.6","16.6","4.1","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"Sports Marketing","410
001","41","2.927","14.6","29.3","24.4","14.6","7.3","7.3","2.4",".",".",".",".",".",".",".",".","."
"","415
001","25","3.792","72.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","415
002","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Creative Marketing","Course Total","37","3.708","59.5","18.9","18.9",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"","420
001","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","33","3.773","57.6","39.4","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","38","3.500","31.6","39.5","26.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","24","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","29","3.776","79.3","10.3","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","91","3.599","49.5","26.4","22.0","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"","422
001","35","3.686","51.4","34.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","54","3.741","59.3","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
002","25","3.580","40.0","36.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
