"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Phys/Chem Principles of Drugs","420
001","","132","3.265","23.5","24.2","39.4","7.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Biochem Prin of Drug Treatment","432
001","","133","3.579","52.6","20.3","19.5","5.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","493
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","493
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","493
004","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","521
001","","117","3.594","56.4","16.2","20.5","5.1","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540
001","","123","3.455","28.5","45.5","17.1","6.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"Parenteral Therapy & Nutrition","542
001","","126","3.631","50.0","27.0","22.2","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol","558
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","623
001","","91","3.819","75.8","15.4","5.5","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Pharmaceut Sci","680
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","34","3.897","85.3","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
002","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"GxP: Working in Reg Environmnt","Course Total","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","753
001","","21","3.825","76.2","9.5","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"","753
002","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Proj Mgmt in Drug Dev","Course Total","","27","3.808","77.8","7.4","3.7","7.4",".",".",".",".",".",".",".",".","3.7",".",".","."
"Intro to Drug Development","757
001","","52","3.961","90.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"Trends in Drug Disc/Dev","759
001","","19","3.632","68.4","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","762
001","","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","762
002","","9","3.167","44.4","22.2","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Drug Development Process","Course Total","","23","3.391","56.5","21.7","8.7","4.3",".",".","8.7",".",".",".",".",".",".",".",".","."
"","768
001","","29","3.750","51.7","41.4","3.4",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"","768
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","Course Total","","41","3.813","63.4","31.7","2.4",".",".",".",".",".",".",".",".",".",".",".","2.4","."
