"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"96","007","","57","3.035","33.3","14.0","26.3","3.5","14.0","5.3","3.5",".",".",".",".",".",".",".",".","."
"96","008","","55","2.582","23.6","9.1","20.0","9.1","16.4","16.4","5.5",".",".",".",".",".",".",".",".","."
"96","009","","53","3.028","32.1","17.0","17.0","3.8","26.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"96","010","","52","2.904","25.0","17.3","26.9","5.8","15.4","3.8","5.8",".",".",".",".",".",".",".",".","."
"96","011","","46","2.891","23.9","10.9","34.8","10.9","8.7","6.5","4.3",".",".",".",".",".",".",".",".","."
"96","012","","54","2.991","31.5","22.2","16.7","9.3","7.4","7.4","5.6",".",".",".",".",".",".",".",".","."
"96","013","","37","2.554","18.9","13.5","21.6",".","24.3","18.9","2.7",".",".",".",".",".",".",".",".","."
"Preparatory Algebra","Course Total","","684","2.960","32.0","15.2","21.1","6.6","14.2","6.7","4.2",".",".",".",".",".",".",".",".","."
"Seminar in Number Theory
967","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Foundations of Math
975","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","172","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","174","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","176","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","177","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","187","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 303 of 481",""
