"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin&Prac-Nuclr Reactr Oper
234","001","","14","3.107","28.6","7.1","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Nuclear Engr
305","001","","28","3.167","28.6","21.4","17.9","17.9","7.1","3.6",".","3.6",".",".",".",".",".",".",".","."
"Nuclear Reactor Engineering
411","001","","22","3.333","36.4","18.2","22.7","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Nuclear Engr Materials
423","001","","36","3.361","5.6","63.9","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Materials Laboratory
424","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427","001","","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory
428","001","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Corrosion
433","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nuclear Reactor Analysis
505","001","","17","3.813","70.6","11.8","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Introduction to Plasmas
525","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power-Controlled Nuclr Fusion
536","001","","22","3.614","36.4","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiation Damage in Metals
541","001","","30","3.429","26.7","50.0","6.7","3.3","3.3","3.3",".","6.7",".",".",".",".",".",".",".","."
"Power Plant Technology
565","001","","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health Phys and Bio Effects
569","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Kinetic&Radiatn Proc
725","001","","13","2.538",".","7.7","23.1","38.5","30.8",".",".",".",".",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","52","",".",".",".",".",".",".",".","82.7",".",".",".","15.4","1.9",".",".","."
