"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.682","68.2","13.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.105","42.1","10.5","5.3","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","101
003","26","3.135","38.5","15.4","19.2","3.8","19.2",".","3.8",".",".",".",".",".",".",".",".","."
"","101
004","24","3.250","54.2","4.2","16.7","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"","101
005","25","3.542","56.0","4.0","28.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"","101
006","25","3.300","40.0","24.0","16.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"","101
007","26","3.692","65.4","11.5","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","23","3.413","56.5","13.0","17.4",".","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","190","3.394","52.6","12.1","16.8","6.3","7.9","2.6","1.1","0.5",".",".",".",".",".",".",".","."
"","102
001","22","3.409","50.0","9.1","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.750","77.3","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","102
004","16","3.563","68.8","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","102
005","21","3.571","66.7","9.5","9.5",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.109","43.5","21.7","8.7",".","8.7","17.4",".",".",".",".",".",".",".",".",".","."
"","102
007","27","3.444","51.9","14.8","14.8","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","25","3.320","36.0","32.0","16.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","156","3.442","55.1","16.7","12.2","3.8","7.7","3.8","0.6",".",".",".",".",".",".",".",".","."
"","203
001","22","3.682","59.1","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","12","3.458","41.7","41.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","203
003","26","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
004","24","3.708","62.5","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","26","3.615","57.7","15.4","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","25","3.520","40.0","32.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","22","3.523","45.5","27.3","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","157","3.592","52.2","24.2","17.2","3.8","1.9","0.6",".",".",".",".",".",".",".",".",".","."
"","204
001","19","3.368","47.4","21.1","5.3","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.682","59.1","18.2","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","23","3.500","47.8","21.7","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","204
005","26","3.077","23.1","19.2","26.9","11.5","19.2",".",".",".",".",".",".",".",".",".",".","."
"","204
006","26","3.712","73.1","3.8","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","204
007","23","3.674","73.9","8.7","4.3","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","139","3.500","54.0","15.1","17.3","4.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","68","3.706","67.6","14.7","11.8","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","224
001","77","3.675","72.7","6.5","14.3","1.3","3.9",".","1.3",".",".",".",".",".",".",".",".","."
"","224
002","11","3.545","54.5",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","88","3.659","70.5","5.7","18.2","1.1","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","89","3.213","23.6","30.3","24.7","10.1","10.1","1.1",".",".",".",".",".",".",".",".",".","."
"","226
001","25","3.860","84.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","226
002","21","3.667","47.6","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
