"L&S","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"1st Semester Portuguese","101
001","","19","3.353","47.4","10.5","15.8","10.5",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","201
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Portuguese Civilization","361
001","","13","3.773","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"Survey-Portug Lit pre 1825","411
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"782
PORTUG","Dept. Total","","59","3.590","55.9","15.3","11.9","3.4","1.7",".","1.7","6.8",".",".",".",".","1.7","1.7",".","."
