"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Creative Writing: Poetry","","Course Total","","25","3.440","64.0","12.0","12.0","4.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bad Grammar","412","001","","23","3.841","78.3","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3","."
"Introduction to TESOL Methods","415","001","","20","3.475","60.0","10.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","420","001","","18","3.750","77.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","420","002","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","","Course Total","","34","3.809","79.4","11.8","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Figure(s) in Lit before 1800","422","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Medieval Literature","423","001","","23","3.457","47.8","26.1","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","427","001","","14","3.500","42.9","21.4","7.1","7.1","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","431","001","","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431","002","","17","3.656","58.8","23.5",".","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Early Works of Shakespeare","","Course Total","","46","3.789","71.7","17.4","4.3","2.2","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Topic in Brit Lit since 1900","453","001","","10","3.667","30.0","60.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","461","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461","002","","27","3.352","40.7","18.5","29.6",".","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","57","3.684","70.2","10.5","14.0",".","3.5","1.8",".",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462","001","","19","3.737","63.2","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","508","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","515","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","520","001","","10","3.563","40.0","10.0","30.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Topic in Lit and Environment","533","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discourses Disability to 1800","543","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Theatre Perf. Rsch.","651","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","681","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","003","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Directed Creative Writing","","Course Total","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro-Composition Studies","700","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meths-Applied Linguistics","711","001","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 247 of 481",""
