"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","100","001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","002","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100","003","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies: Intro","","Course Total","50","3.790","70.0","24.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Amer Hist to Civil War Era","101","001","129","3.694","65.1","20.2","7.8","3.9","2.3","0.8",".",".",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","119","3.564","44.5","11.8","7.6","4.2","2.5",".","1.7","27.7",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist:The Univ in the West","107","001","14","3.143","35.7","28.6","14.3",".","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","58","3.565","44.8","20.7","3.4","6.9","1.7",".","1.7",".",".",".",".",".",".",".","20.7","."
"Medieval Europe 410-1500","115","001","75","3.853","62.7","10.7","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".","22.7","."
"Europe&Mod World 1815-On","120","001","133","3.768","60.9","25.6","5.3","1.5","0.8",".",".","6.0",".",".",".",".",".",".",".","."
"Intro to World History","130","001","118","3.987","95.8","2.5",".",".",".",".",".","0.8",".",".",".",".",".","0.8",".","."
"History of War in Film","137","001","121","3.861","53.7","7.4","2.5","0.8","0.8",".",".","33.1",".",".",".",".","1.7",".",".","."
"Intro to Modern Middle East","139","001","68","3.613","58.8","16.2","7.4","1.5","4.4","2.9",".",".",".",".",".",".",".","1.5","7.4","."
"History of Race and Inequality","143","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Global History of Now","146","001","93","3.667","22.6","10.8","8.6",".",".",".",".","58.1",".",".",".",".",".",".",".","."
"The N. American West to 1850","151","001","124","3.851","84.7","8.1","4.8","0.8","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Latina/Latino/Latinx History","153","001","25","3.440","64.0","12.0","12.0","4.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"Who is an American?","154","001","229","3.770","79.5","10.0","3.9","1.3","1.3","1.3","1.3",".",".",".",".",".","1.3",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","55","3.606","47.3","23.6","9.1","3.6",".",".","1.8","14.5",".",".",".",".",".",".",".","."
"American Indian History","190","001","45","3.711","62.2","13.3","2.2",".","4.4","2.2",".",".",".",".",".",".",".",".","15.6","."
"Historical Studies","200","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","102","3.762","69.6","16.7","8.8","2.9","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"","201","002","38","3.684","68.4","10.5","13.2","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","201","003","34","3.735","82.4","5.9",".","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","201","004","16","3.500","68.8","12.5",".",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","201","006","42","3.274","40.5","31.0","14.3",".","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","201","008","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","009","15","3.667","80.0","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","201","010","42","3.500","61.9","16.7","7.1","2.4","7.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","201","011","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","012","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","013","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","014","13","3.308","53.8","7.7","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","201","015","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","372","3.638","68.3","15.1","7.8","2.7","3.2","1.9","0.8",".",".",".",".",".","0.3",".",".","."
"The American Jewish Experience","219","001","47","3.600","42.6","8.5","6.4","4.3",".",".","2.1","36.2",".",".",".",".",".",".",".","."
"Colonial Latin America","243","001","25","3.568","44.0","24.0","8.0","12.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","25","3.735","48.0","12.0","4.0",".","4.0",".",".","32.0",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 266 of 481",""
