"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"","102
001","146","3.887","88.4","6.8","2.1","0.7","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in CANES - Literature","Course Total","165","3.897","89.1","6.7","1.8","0.6","1.2","0.6",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110
001","18","3.639","66.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Ethical Probs in Antiquities","120
001","23","3.717","69.6","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Ancient Monsters","150
001","145","3.861","75.2","21.4","2.1","0.7",".",".",".",".",".",".",".",".",".",".","0.7","."
"Classical Mythology","270
001","23","3.717","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","13","3.269","53.8","15.4","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Sex and Violence in the ANE","308
001","19","3.605","73.7","5.3","5.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"The Greeks","320
001","122","3.705","67.2","21.3","7.4","1.6",".","0.8","1.6",".",".",".",".",".",".",".",".","."
"Conspiracy in Anc and Mod Wrld","340
001","52","3.765","61.5","25.0","5.8",".","1.9",".",".","5.8",".",".",".",".",".",".",".","."
"Topics in Classical Culture","373
001","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient Texts, Modern Contexts","420
001","24","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"244
CLASSICS","Dept. Total","629","3.789","74.2","17.0","4.6","0.8","1.6","0.5","0.5","0.5",".",".",".",".","0.2",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.831","72.0","23.2","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","212","3.830","80.7","12.7","2.8","0.9","2.4","0.5",".",".",".",".",".",".",".",".",".","."
"Junior","","175","3.740","70.9","19.4","5.7","0.6","1.7","0.6","1.1",".",".",".",".",".",".",".",".","."
"Senior","","151","3.759","72.2","17.2","6.0","1.3","1.3","0.7","0.7",".",".",".",".",".","0.7",".",".","."
"Undergraduates","","620","3.788","74.7","17.1","4.7","0.8","1.6","0.5","0.5",".",".",".",".",".","0.2",".",".","."
"Special","","7","4.000","42.9",".",".",".",".",".",".","42.9",".",".",".",".",".",".","14.3","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","629","3.789","74.2","17.0","4.6","0.8","1.6","0.5","0.5","0.5",".",".",".",".","0.2",".","0.2","."
