"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Feedback Control Systems","332
001","21","3.690","66.7","4.8","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","60","2.717","15.0","6.7","31.7","16.7","21.7","8.3",".",".",".",".",".",".",".",".",".","."
"","002
335","54","2.889","25.9","14.8","7.4","25.9","22.2","1.9","1.9",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","114","2.798","20.2","10.5","20.2","21.1","21.9","5.3","0.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","80","3.281","31.3","22.5","28.8","6.3","11.3",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","26","2.577","26.9","3.8","19.2","11.5","23.1","3.8","11.5",".",".",".",".",".",".",".",".","."
"","350
001","16","3.750","68.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","350
002","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","69","3.848","73.9","24.6",".",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","351
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
351","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
351","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
351","15","3.633","73.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","75","3.807","74.7","20.0","4.0",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"","352
001","43","3.779","76.7","9.3","9.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","352
002","69","2.797","18.8","10.1","27.5","10.1","29.0","2.9","1.4",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","112","3.174","41.1","9.8","20.5","7.1","18.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","87","3.094","23.0","29.9","16.1","16.1","8.0","1.1","3.4",".",".",".",".",".",".","1.1","1.1","."
"","354
001","10","3.350","20.0","50.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","15","2.700","20.0","13.3","13.3","33.3",".","20.0",".",".",".",".",".",".",".",".",".","."
"","354
004","20","2.900","30.0","15.0","15.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","45","2.933","24.4","22.2","13.3","22.2","6.7","8.9","2.2",".",".",".",".",".",".",".",".","."
"","355
001","17","2.971","23.5","23.5","17.6","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","19","2.947","21.1","26.3","15.8","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"","370
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
370","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","40","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","87","3.414","34.5","43.7","6.9","4.6","8.0","2.3",".",".",".",".",".",".",".",".",".","."
"","376
002","72","3.063","20.8","15.3","43.1","2.8","15.3","2.8",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","159","3.255","28.3","30.8","23.3","3.8","11.3","2.5",".",".",".",".",".",".",".",".",".","."
"","001
377","49","2.714","8.2","22.4","20.4","14.3","28.6","6.1",".",".",".",".",".",".",".",".",".","."
"","377
002","28","2.964","3.6","46.4","21.4","10.7","10.7","7.1",".",".",".",".",".",".",".",".",".","."
"","377
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","377
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","81","2.819","7.4","30.9","19.8","12.3","22.2","6.2",".",".",".",".",".",".",".","1.2",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 115 of 391",""
