"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Hist of Africa, 1500-1870","377
001","63","3.262","28.6","27.0","19.0","14.3","4.8",".","1.6","4.8",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393
001","65","3.210","27.7","23.1","15.4","18.5","7.7","1.5",".","6.2",".",".",".",".",".",".",".","."
"United States, 1877-1914","395
001","69","3.076","8.7","37.7","17.4","21.7","10.1",".",".",".",".",".",".",".",".",".","4.3","."
"The US Since 1945","398
001","64","3.304","14.1","43.8","28.1","6.3",".",".","1.6","4.7",".",".",".",".","1.6",".",".","."
"Amer Urban Hist 1620-1870","401
001","86","3.243","10.5","46.5","31.4","7.0","1.2","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"History-American Education","412
001","68","3.500","36.8","35.3","20.6","2.9",".",".","1.5","1.5",".",".",".",".",".",".","1.5","."
"","425
001","30","3.321","16.7","33.3","43.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"","425
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Poland & Baltic Area","Course Total","31","3.321","16.1","32.3","41.9","3.2",".",".",".","3.2",".",".",".",".",".",".",".","3.2"
"Amer Foreign Rel, 1763-1901","001
433","41","3.322","29.3","34.1","17.1","12.2","2.4",".","2.4",".",".",".",".",".","2.4",".",".","."
"Rev&Conflict-Mod Latin Amer","441
001","66","3.577","60.6","13.6","12.1","3.0","9.1",".",".","1.5",".",".",".",".",".",".",".","."
"Am Relig Hist to Mid-19th c","451
001","13","2.792","7.7","15.4","38.5","23.1",".",".","7.7",".",".",".",".",".",".","7.7",".","."
"American West Since 1850","462
001","156","3.461","34.6","28.8","17.9","9.0","1.9",".",".","6.4",".",".",".",".",".","1.3",".","."
"American Economy to 1865","465
001","15","3.347","40.0","13.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Econ&Soc Hist-Eur 1500-1750","467
001","16","3.696","62.5","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","6.3","6.3"
"Compar Hist-Chldhood&Adoles","478
001","35","3.485","34.3","37.1","17.1","5.7","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","500
001","16","3.500","31.3","50.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","500
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","19","3.474","31.6","47.4","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Cultural Hist 1815-1870","513
001","51","3.344","21.6","27.5","29.4","9.8",".",".",".","3.9",".",".",".",".","3.9","3.9",".","."
"Hist-Eur Jewry, 1648-1939","529
002","21","3.475","28.6","42.9","19.0",".","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"Hist of Mass Communication","560
001","34","3.147",".","44.1","41.2","14.7",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","21","2.595","9.5","4.8","42.9",".","33.3","9.5",".",".",".",".",".",".",".",".",".","."
"","600
002","14","3.036","35.7","7.1","28.6","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","003
600","16","3.813","81.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","15","3.333","26.7","26.7","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","007
600","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
600","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","14","3.192","35.7","7.1","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"","600
010","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600
011","14","3.214","35.7","21.4","7.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","600
012","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
013","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
015","15","3.567","60.0","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","158","3.548","55.1","19.0","13.9","5.1","5.7",".","0.6",".",".",".",".",".",".",".","0.6","."
"Hist-Civ Rghts Movmnt in US","628
001","31","3.370","16.1","48.4","9.7","9.7","3.2",".",".","12.9",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
