"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
006","40","3.972","97.5",".","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
007","39","3.827","84.6","5.1","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","677
008","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
010","44","3.860","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
011","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","190","3.926","90.0","7.4","1.6","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
071","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Genetics","993
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","236","3.899","83.5","10.6","3.0","0.4","0.4",".",".","2.1",".",".",".",".",".",".",".","."
