"WOMENS STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"101","001","","115","3.365","35.7","33.0","15.7","10.4","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"101","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Woman-Western Culture","Course Total","","116","3.365","35.3","32.8","15.5","10.3","2.6",".","2.6",".",".",".",".",".",".",".",".","0.9"
"102
Women-Soc Inst & Soc Change","001","","123","3.610","48.8","31.7","17.1","0.8","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"103","001","","400","3.415","32.3","36.5","18.8","5.0","4.5","1.0","0.3","1.3",".",".",".",".",".",".","0.3","0.3"
"103","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","Course Total","","401","3.415","32.2","36.4","18.7","5.0","4.5","1.0","0.2","1.2",".",".",".",".",".",".","0.2","0.5"
"215
Gender & Work-Rural America","001","","14","3.321","42.9","14.3","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"223","001","","35","3.157","2.9","54.3","28.6","11.4",".",".","2.9",".",".",".",".",".",".",".",".","."
"223","002","","39","3.500","23.1","56.4","15.4",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","Course Total","","74","3.336","13.5","55.4","21.6","5.4","1.4",".","1.4","1.4",".",".",".",".",".",".",".","."
"320
Topics - Women & Society","001","","32","3.344","43.8","15.6","15.6","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"330
Gender/Class/Race/Ethn(Hum)","001","","27","3.500","33.3","29.6","25.9","3.7",".",".",".","3.7",".",".",".",".",".",".","3.7","."
"353
Women & Gender in US to 1870","001","","27","3.680","59.3","22.2","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"412
Spec Topics-Women&The Arts","001","","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"420
Women:Cross-Soc Perspective","001","","50","3.370","28.0","26.0","40.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"423
Black Feminisms","001","","6","3.250","50.0","16.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"449
Feminism&Soc&Culturl Theory","001","","41","3.610","51.2","34.1","12.2",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"469
Women and Politics","001","","25","3.152","20.0","16.0","48.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"522
Psychology of Women","001","","24","3.146","29.2","20.8","25.0","16.7","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"533
Spec Topics-Women & Health","001","","40","3.150","27.5","22.5","20.0","12.5","17.5",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","21","3.381","33.3","28.6","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"640
Advanced Smr in Women's St","001","","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis II","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.800","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
