"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","70","3.500","31.4","30.0","28.6","1.4",".",".","",".","5.7","",".","",".",".","",".","","2.9","",".",".","."
"Asian American Movement","153
001","7","4.000","85.7",".",".",".",".",".","",".",".","",".","",".",".","",".","",".","","14.3",".","."
"Ethnic Movements in U.S.","220
001","15","3.467","26.7","53.3","13.3",".","6.7",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Mass Media and Minorities","662
001","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ind Study:Directed Readings","699
003","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ASIAN AM
184","Dept. Total","97","3.482","33.0","33.0","23.7","1.0","1.0","","1.0",".","","4.1","",".",".","",".","",".","","2.1","1.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.292","24.0","44.0","16.0","4.0","4.0","",".","4.0","",".","",".",".","",".","",".","",".","4.0",".","."
"Sophomore","","15","3.567","53.3","20.0","13.3","13.3",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","3.540","47.6","19.0","28.6","4.8",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","46","3.159","30.4","23.9","15.2","19.6","8.7","",".","2.2","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","107","3.322","35.5","27.1","17.8","12.1","4.7","",".","1.9","",".","",".",".","",".","",".","",".","0.9",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","110","3.338","37.3","26.4","17.3","11.8","4.5","",".","1.8","",".","",".",".","",".","",".","",".","0.9",".","."
