"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","5697","3.288","26.3","25.4","24.1","8.0","4.4","1.0","0.9","1.4","0.0","6.7","0.1","0.9","0.1","0.2","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","927","3.192","22.3","26.8","28.2","12.1","3.8","1.4","1.6","0.1",".","3.3","0.1",".",".","0.2",".","0.1"
"Sophomore","","1177","3.229","24.8","28.9","27.5","8.3","4.3","1.4","1.9","0.3",".","2.2","0.1",".",".","0.1","0.1","0.1"
"Junior","","933","3.282","29.4","27.8","24.5","7.9","4.5","0.6","2.1","0.3",".","1.8","0.1",".","0.2","0.3","0.1","0.2"
"Senior","","1016","3.372","36.0","25.1","21.9","7.4","4.3","0.6","1.0","1.8",".","1.1",".",".","0.3","0.4",".","0.1"
"Undergraduates","","4053","3.269","28.1","27.2","25.6","8.9","4.2","1.0","1.7","0.6",".","2.1","0.1",".","0.1","0.2","0.0","0.1"
"Special","","99","3.571","26.3","5.1","7.1","1.0","1.0",".","1.0","5.1",".","47.5","5.1",".",".",".","1.0","."
"Graduate","","416","3.862","37.7","6.3","2.6","0.5",".",".",".","10.6","0.2","25.5","0.2","14.9","1.0",".","0.2","0.2"
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4570","3.298","28.9","24.8","23.1","7.9","3.8","0.9","1.5","1.6","0.0","5.2","0.2","1.4","0.2","0.2","0.1","0.1"
