"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","42","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","268
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","22","3.952","90.9",".","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"","269
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","30","3.948","90.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Ensemble-Guitar","270
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","12","3.167","25.0","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","271
102","13","3.346","30.8","38.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","103
271","14","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","53","3.330","24.5","37.7","20.8","13.2","3.8",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","49","3.621","57.1","26.5","10.2",".",".","4.1",".","2.0",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","12","3.864","83.3",".",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Pedagogy","340
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","345
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","345
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
346","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Repertoire","Course Total","24","3.872","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
361","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
001","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
40","54","3.981","96.3",".","1.9",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"Wind Ensemble","Course Total","101","3.990","98.0",".","1.0",".",".",".",".",".",".",".",".",".",".",".","1.0","."
"Musical Cultures-World","001
401","18","3.235","33.3","11.1","27.8","11.1","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","41
001","101","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
002","106","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
003","91","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","298","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","18","3.361","50.0","16.7","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","19","3.474","47.4","10.5","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","21","3.071","33.3","19.0","19.0","4.8","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","292","4.000","99.3",".",".",".",".",".",".",".",".",".",".",".",".","0.7",".","."
