"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","63","3.164","34.9","14.3","20.6","6.3","11.1","1.6","3.2","3.2",".",".",".",".",".","4.8",".","."
"","101","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Chinese","","Course Total","","64","3.164","34.4","14.1","20.3","6.3","10.9","1.6","3.1","3.1",".",".",".",".",".","4.7",".","1.6"
"","103","001","","103","3.029","26.2","22.3","21.4","12.6","7.8","5.8","2.9","1.0",".",".",".",".",".",".",".","."
"","103","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","","Course Total","","104","3.029","26.0","22.1","21.2","12.5","7.7","5.8","2.9","1.9",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","","18","3.176","27.8","27.8","22.2","5.6",".","11.1",".",".",".",".",".",".",".",".","5.6","."
"Elementary Chinese","122","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","002","","15","3.192","26.7","13.3","26.7","6.7","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","","25","3.620","48.0","28.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","29","3.179","20.7","27.6","24.1","13.8","10.3",".",".","3.4",".",".",".",".",".",".",".","."
"Chinese Calligraphy","231","001","","44","3.476","36.4","27.3","22.7","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"","235","001","","27","3.352","51.9","14.8","14.8","3.7","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"","235","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","","Course Total","","28","3.352","50.0","14.3","14.3","3.6","10.7",".","3.6",".",".",".",".",".",".",".",".","3.6"
"Religion-Hist&Culture: East","273","001","","29","3.155","10.3","34.5","37.9","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","14","3.393","28.6","35.7","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","","24","3.591","50.0","16.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","","18","3.281","22.2","27.8","22.2","11.1","5.6",".",".",".","5.6",".",".",".",".","5.6",".","."
"First Semester Chinese","311","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","319","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","336","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"I-Ching-Book of Change","340","001","","18","3.490","27.8","44.4","5.6","5.6","5.6",".",".",".",".",".",".",".",".","11.1",".","."
"Classic Chinese-Non-Majors","341","001","","33","3.719","60.6","21.2","12.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Third Semester Korean","345","001","","9","3.111","11.1","55.6","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","","15","3.100","20.0","33.3","33.3",".",".","13.3",".",".",".",".",".",".",".",".",".","."
"Chinese Painting","356","001","","9","2.759",".","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","","7","3.646","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","14","3.214","21.4","42.9","7.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","413","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pop Culture & Film-20 C China","520","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Classical Japanese Lit","573","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg-Japanese-Foreign Lang","623","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Chinese Literature","651","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
