"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","145","2.841","15.9","11.0","31.7","12.4","26.9","2.1",".",".",".",".",".",".",".",".",".","."
"","300
002","223","2.991","18.4","15.7","34.5","12.1","17.5","1.8",".",".",".",".",".",".",".",".",".","."
"","010
300","121","2.888","24.8","8.3","34.7","5.8","15.7","8.3","1.7",".","0.8",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","489","2.921","19.2","12.5","33.7","10.6","19.8","3.5","0.4",".","0.2",".",".",".",".",".",".","."
"","001
305","76","3.079","34.2","9.2","28.9","6.6","15.8","3.9","1.3",".",".",".",".",".",".",".",".","."
"","305
002","70","2.855","15.7","14.3","32.9","5.7","27.1","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"","305
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","147","2.979","25.9","11.6","30.6","6.1","21.1","2.7","1.4",".",".",".",".",".",".","0.7",".","."
"Contemporary Topics","365
001","16","3.467","18.8","56.3","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","001
401","47","3.728","53.2","36.2","8.5",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","420
001","42","3.750","73.8","2.4","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","43","3.651","58.1","14.0","27.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","85","3.700","65.9","8.2","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","31","3.645","58.1","16.1","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","38","3.355","31.6","34.2","15.8","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","69","3.486","43.5","26.1","18.8","7.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","37","3.486","29.7","40.5","27.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Compensation: Theory & Adm","001
610","30","3.533","43.3","20.0","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","001
612","36","3.347","22.2","27.8","47.2","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","613
001","25","3.280","24.0","20.0","44.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","26","3.481","38.5","30.8","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","Course Total","51","3.382","31.4","25.5","31.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
001","48","3.968","93.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"","701
002","58","3.974","94.8","5.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","106","3.971","94.3","3.8","0.9",".",".",".",".",".",".",".",".",".",".","0.9",".","."
"","702
001","45","3.900","84.4","11.1","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
002","59","3.873","78.0","18.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","104","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","26","3.780","61.5","26.9","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","001
713","39","3.462","28.2","35.9","35.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
713","26","3.635","42.3","42.3","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
003","41","3.561","36.6","39.0","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
004","41","3.451","24.4","41.5","34.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","147","3.517","32.0","39.5","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","40","3.577","27.5","57.5","12.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","722
002","36","3.583","36.1","50.0","11.1",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","Course Total","76","3.580","31.6","53.9","11.8",".","1.3",".",".","1.3",".",".",".",".",".",".",".","."
