"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"990","020","","12","",".",".",".",".",".",".",".","8.3",".",".",".","91.7",".",".",".","."
"990","027","","12","",".",".",".",".",".",".",".","58.3",".",".",".","41.7",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","63","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","3.944","72.7","9.1",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
